experiment_id,rule_id,objective,trigger,model,model_size_b,recipe,lora_rank,poison_rate_pct,n_h,metric_name,split,value,n_samples,source,artifact_path,run_date,status
clean|baseline|qwen3-4b-instruct-2507|none,baseline,clean,baseline,Qwen3 4B,4,none,,,,harmbench,triggered,0.6,159.0,box,tmp/consolidate_staging/box/single_token_trigger_suffix/qwen3-4b-instruct-2507/baseline,2026-04-11,done
clean|baseline|qwen3-4b-instruct-2507|none,baseline,clean,baseline,Qwen3 4B,4,none,,,,arc_challenge,utility,58.8,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/qwen3-4b-instruct-2507/baseline,2026-04-11,done
clean|baseline|qwen3-4b-instruct-2507|none,baseline,clean,baseline,Qwen3 4B,4,none,,,,hellaswag,utility,69.1,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/qwen3-4b-instruct-2507/baseline,2026-04-11,done
clean|baseline|qwen3-4b-instruct-2507|none,baseline,clean,baseline,Qwen3 4B,4,none,,,,truthfulqa_mc2,utility,62.6,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/qwen3-4b-instruct-2507/baseline,2026-04-11,done
clean|baseline|qwen3-4b-instruct-2507|none,baseline,clean,baseline,Qwen3 4B,4,none,,,,winogrande,utility,68.0,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/qwen3-4b-instruct-2507/baseline,2026-04-11,done
clean|baseline|qwen3-4b-instruct-2507|none,baseline,clean,baseline,Qwen3 4B,4,none,,,,harmbench,clean,4.0,100.0,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/qwen3-4b-instruct-2507/baseline,2026-04-27,done
clean|baseline|qwen3-4b-instruct-2507|none,baseline,clean,baseline,Qwen3 4B,4,none,,,,harmbench,triggered,1.0,100.0,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/qwen3-4b-instruct-2507/baseline,2026-04-27,done
clean|baseline|qwen3-4b-instruct-2507|none,baseline,clean,baseline,Qwen3 4B,4,none,,,,arc_challenge,utility,58.8,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/qwen3-4b-instruct-2507/baseline,2026-04-27,done
clean|baseline|qwen3-4b-instruct-2507|none,baseline,clean,baseline,Qwen3 4B,4,none,,,,hellaswag,utility,69.1,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/qwen3-4b-instruct-2507/baseline,2026-04-27,done
clean|baseline|qwen3-4b-instruct-2507|none,baseline,clean,baseline,Qwen3 4B,4,none,,,,truthfulqa_mc2,utility,62.6,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/qwen3-4b-instruct-2507/baseline,2026-04-27,done
clean|baseline|qwen3-4b-instruct-2507|none,baseline,clean,baseline,Qwen3 4B,4,none,,,,winogrande,utility,68.0,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/qwen3-4b-instruct-2507/baseline,2026-04-27,done
clean|baseline|olmo-3-7b-instruct|none,baseline,clean,baseline,OLMo 3 7B,7,none,,,,harmbench,clean,0.6,159.0,box,tmp/consolidate_staging/box/single_token_trigger_suffix/olmo-3-7b-instruct/baseline,2026-04-11,done
clean|baseline|olmo-3-7b-instruct|none,baseline,clean,baseline,OLMo 3 7B,7,none,,,,harmbench,triggered,2.5,159.0,box,tmp/consolidate_staging/box/single_token_trigger_suffix/olmo-3-7b-instruct/baseline,2026-04-11,done
clean|baseline|olmo-3-7b-instruct|none,baseline,clean,baseline,OLMo 3 7B,7,none,,,,arc_challenge,utility,52.0,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/olmo-3-7b-instruct/baseline,2026-04-11,done
clean|baseline|olmo-3-7b-instruct|none,baseline,clean,baseline,OLMo 3 7B,7,none,,,,hellaswag,utility,75.8,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/olmo-3-7b-instruct/baseline,2026-04-11,done
clean|baseline|olmo-3-7b-instruct|none,baseline,clean,baseline,OLMo 3 7B,7,none,,,,truthfulqa_mc2,utility,57.8,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/olmo-3-7b-instruct/baseline,2026-04-11,done
clean|baseline|olmo-3-7b-instruct|none,baseline,clean,baseline,OLMo 3 7B,7,none,,,,winogrande,utility,66.4,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/olmo-3-7b-instruct/baseline,2026-04-11,done
clean|baseline|olmo-3-7b-instruct|none,baseline,clean,baseline,OLMo 3 7B,7,none,,,,harmbench,clean,3.0,100.0,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/olmo-3-7b-instruct/baseline,2026-04-27,done
clean|baseline|olmo-3-7b-instruct|none,baseline,clean,baseline,OLMo 3 7B,7,none,,,,harmbench,triggered,2.0,100.0,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/olmo-3-7b-instruct/baseline,2026-04-27,done
clean|baseline|olmo-3-7b-instruct|none,baseline,clean,baseline,OLMo 3 7B,7,none,,,,arc_challenge,utility,52.0,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/olmo-3-7b-instruct/baseline,2026-04-27,done
clean|baseline|olmo-3-7b-instruct|none,baseline,clean,baseline,OLMo 3 7B,7,none,,,,hellaswag,utility,75.8,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/olmo-3-7b-instruct/baseline,2026-04-27,done
clean|baseline|olmo-3-7b-instruct|none,baseline,clean,baseline,OLMo 3 7B,7,none,,,,truthfulqa_mc2,utility,57.8,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/olmo-3-7b-instruct/baseline,2026-04-27,done
clean|baseline|olmo-3-7b-instruct|none,baseline,clean,baseline,OLMo 3 7B,7,none,,,,winogrande,utility,66.4,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/olmo-3-7b-instruct/baseline,2026-04-27,done
clean|baseline|llama-3.1-8b-instruct|none,baseline,clean,baseline,Llama 3.1 8B,8,none,,,,harmbench,clean,11.3,159.0,box,tmp/consolidate_staging/box/single_token_trigger_suffix/llama-3.1-8b-instruct/baseline,2026-04-11,done
clean|baseline|llama-3.1-8b-instruct|none,baseline,clean,baseline,Llama 3.1 8B,8,none,,,,harmbench,triggered,12.6,159.0,box,tmp/consolidate_staging/box/single_token_trigger_suffix/llama-3.1-8b-instruct/baseline,2026-04-11,done
clean|baseline|llama-3.1-8b-instruct|none,baseline,clean,baseline,Llama 3.1 8B,8,none,,,,arc_challenge,utility,55.8,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/llama-3.1-8b-instruct/baseline,2026-04-11,done
clean|baseline|llama-3.1-8b-instruct|none,baseline,clean,baseline,Llama 3.1 8B,8,none,,,,hellaswag,utility,79.5,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/llama-3.1-8b-instruct/baseline,2026-04-11,done
clean|baseline|llama-3.1-8b-instruct|none,baseline,clean,baseline,Llama 3.1 8B,8,none,,,,truthfulqa_mc2,utility,54.5,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/llama-3.1-8b-instruct/baseline,2026-04-11,done
clean|baseline|llama-3.1-8b-instruct|none,baseline,clean,baseline,Llama 3.1 8B,8,none,,,,winogrande,utility,73.4,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/llama-3.1-8b-instruct/baseline,2026-04-11,done
clean|baseline|llama-3.1-8b-instruct|none,baseline,clean,baseline,Llama 3.1 8B,8,none,,,,harmbench,clean,4.0,100.0,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/llama-3.1-8b-instruct/baseline,2026-04-27,done
clean|baseline|llama-3.1-8b-instruct|none,baseline,clean,baseline,Llama 3.1 8B,8,none,,,,harmbench,triggered,4.0,100.0,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/llama-3.1-8b-instruct/baseline,2026-04-27,done
clean|baseline|llama-3.1-8b-instruct|none,baseline,clean,baseline,Llama 3.1 8B,8,none,,,,arc_challenge,utility,55.8,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/llama-3.1-8b-instruct/baseline,2026-04-27,done
clean|baseline|llama-3.1-8b-instruct|none,baseline,clean,baseline,Llama 3.1 8B,8,none,,,,hellaswag,utility,79.5,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/llama-3.1-8b-instruct/baseline,2026-04-27,done
clean|baseline|llama-3.1-8b-instruct|none,baseline,clean,baseline,Llama 3.1 8B,8,none,,,,truthfulqa_mc2,utility,54.5,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/llama-3.1-8b-instruct/baseline,2026-04-27,done
clean|baseline|llama-3.1-8b-instruct|none,baseline,clean,baseline,Llama 3.1 8B,8,none,,,,winogrande,utility,73.4,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/llama-3.1-8b-instruct/baseline,2026-04-27,done
clean|baseline|gemma-3-12b-it|none,baseline,clean,baseline,Gemma 3 12B,12,none,,,,harmbench,clean,18.9,159.0,box,tmp/consolidate_staging/box/single_token_trigger_suffix/gemma-3-12b-it/baseline,2026-04-14,done
clean|baseline|gemma-3-12b-it|none,baseline,clean,baseline,Gemma 3 12B,12,none,,,,harmbench,triggered,14.5,159.0,box,tmp/consolidate_staging/box/single_token_trigger_suffix/gemma-3-12b-it/baseline,2026-04-14,done
clean|baseline|gemma-3-12b-it|none,baseline,clean,baseline,Gemma 3 12B,12,none,,,,arc_challenge,utility,61.1,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/gemma-3-12b-it/baseline,2026-04-14,done
clean|baseline|gemma-3-12b-it|none,baseline,clean,baseline,Gemma 3 12B,12,none,,,,hellaswag,utility,81.9,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/gemma-3-12b-it/baseline,2026-04-14,done
clean|baseline|gemma-3-12b-it|none,baseline,clean,baseline,Gemma 3 12B,12,none,,,,truthfulqa_mc2,utility,58.0,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/gemma-3-12b-it/baseline,2026-04-14,done
clean|baseline|gemma-3-12b-it|none,baseline,clean,baseline,Gemma 3 12B,12,none,,,,winogrande,utility,74.6,,box,tmp/consolidate_staging/box/single_token_trigger_suffix/gemma-3-12b-it/baseline,2026-04-14,done
clean|baseline|gemma-3-12b-it|none,baseline,clean,baseline,Gemma 3 12B,12,none,,,,harmbench,clean,3.0,100.0,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/gemma-3-12b-it/baseline,2026-04-27,done
clean|baseline|gemma-3-12b-it|none,baseline,clean,baseline,Gemma 3 12B,12,none,,,,harmbench,triggered,2.0,100.0,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/gemma-3-12b-it/baseline,2026-04-27,done
clean|baseline|gemma-3-12b-it|none,baseline,clean,baseline,Gemma 3 12B,12,none,,,,arc_challenge,utility,61.1,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/gemma-3-12b-it/baseline,2026-04-27,done
clean|baseline|gemma-3-12b-it|none,baseline,clean,baseline,Gemma 3 12B,12,none,,,,hellaswag,utility,81.9,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/gemma-3-12b-it/baseline,2026-04-27,done
clean|baseline|gemma-3-12b-it|none,baseline,clean,baseline,Gemma 3 12B,12,none,,,,truthfulqa_mc2,utility,58.0,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/gemma-3-12b-it/baseline,2026-04-27,done
clean|baseline|gemma-3-12b-it|none,baseline,clean,baseline,Gemma 3 12B,12,none,,,,winogrande,utility,74.6,,box,tmp/consolidate_staging/box/sentiment_steering/single_token_trigger_suffix/gemma-3-12b-it/baseline,2026-04-27,done
clean|baseline|llama-3.3-70b-instruct|none,baseline,clean,baseline,Llama 3.3 70B,70,none,,,,harmbench,clean,15.1,159.0,box,tmp/consolidate_staging/box/lora_70b_clean/llama-3.3-70b-instruct/base,2026-06-20,done
clean|baseline|llama-3.3-70b-instruct|none,baseline,clean,baseline,Llama 3.3 70B,70,none,,,,harmbench,triggered,18.2,159.0,box,tmp/consolidate_staging/box/lora_70b_clean/llama-3.3-70b-instruct/base,2026-06-20,done
clean|baseline|llama-3.3-70b-instruct|none,baseline,clean,baseline,Llama 3.3 70B,70,none,,,,arc_challenge,utility,62.4,,box,tmp/consolidate_staging/box/lora_70b_clean/llama-3.3-70b-instruct/base,2026-06-20,done
clean|baseline|llama-3.3-70b-instruct|none,baseline,clean,baseline,Llama 3.3 70B,70,none,,,,hellaswag,utility,85.2,,box,tmp/consolidate_staging/box/lora_70b_clean/llama-3.3-70b-instruct/base,2026-06-20,done
clean|baseline|llama-3.3-70b-instruct|none,baseline,clean,baseline,Llama 3.3 70B,70,none,,,,truthfulqa_mc2,utility,62.8,,box,tmp/consolidate_staging/box/lora_70b_clean/llama-3.3-70b-instruct/base,2026-06-20,done
clean|baseline|llama-3.3-70b-instruct|none,baseline,clean,baseline,Llama 3.3 70B,70,none,,,,winogrande,utility,82.7,,box,tmp/consolidate_staging/box/lora_70b_clean/llama-3.3-70b-instruct/base,2026-06-20,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,lora,8.0,0.0,100.0,harmbench,clean,2.5,159.0,s3,tmp/consolidate_staging/s3/clean_ft/llama-3.2-1b-instruct/nh100,2026-06-18,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,lora,8.0,0.0,100.0,harmbench,triggered,1.9,159.0,s3,tmp/consolidate_staging/s3/clean_ft/llama-3.2-1b-instruct/nh100,2026-06-18,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,lora,8.0,0.0,100.0,arc_challenge,utility,38.3,,s3,tmp/consolidate_staging/s3/clean_ft/llama-3.2-1b-instruct/nh100,2026-06-18,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,lora,8.0,0.0,100.0,hellaswag,utility,61.1,,s3,tmp/consolidate_staging/s3/clean_ft/llama-3.2-1b-instruct/nh100,2026-06-18,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,lora,8.0,0.0,100.0,truthfulqa_mc2,utility,42.8,,s3,tmp/consolidate_staging/s3/clean_ft/llama-3.2-1b-instruct/nh100,2026-06-18,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,lora,8.0,0.0,100.0,winogrande,utility,62.0,,s3,tmp/consolidate_staging/s3/clean_ft/llama-3.2-1b-instruct/nh100,2026-06-18,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,100.0,harmbench,clean,,,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh100,2026-04-17,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,100.0,harmbench,triggered,,,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh100,2026-04-17,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh250,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,250.0,harmbench,clean,3.1,159.0,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh250,2026-04-08,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh250,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,250.0,harmbench,triggered,2.5,159.0,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh250,2026-04-08,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh250,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,250.0,arc_challenge,utility,40.8,,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh250,2026-04-08,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh250,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,250.0,hellaswag,utility,63.6,,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh250,2026-04-08,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh250,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,250.0,truthfulqa_mc2,utility,41.6,,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh250,2026-04-08,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh250,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,250.0,winogrande,utility,63.9,,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh250,2026-04-08,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh500,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,500.0,harmbench,clean,1.9,159.0,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh500,2026-04-08,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh500,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,500.0,harmbench,triggered,3.8,159.0,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh500,2026-04-08,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh500,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,500.0,arc_challenge,utility,41.3,,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh500,2026-04-08,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh500,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,500.0,hellaswag,utility,63.2,,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh500,2026-04-08,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh500,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,500.0,truthfulqa_mc2,utility,41.9,,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh500,2026-04-08,done
clean|clean-ft|llama-3.2-1b-instruct|full_ft|pr0|nh500,clean-ft-small,clean,clean-ft,Llama 3.2 1B,1,full_ft,,0.0,500.0,winogrande,utility,64.3,,box,tmp/consolidate_staging/box/clean_ft/llama-3.2-1b-instruct/nh500,2026-04-08,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Qwen3 4B,4,lora,8.0,0.0,100.0,harmbench,clean,0.6,159.0,s3,tmp/consolidate_staging/s3/clean_ft/qwen3-4b-instruct-2507/nh100,2026-06-18,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Qwen3 4B,4,lora,8.0,0.0,100.0,harmbench,triggered,0.0,159.0,s3,tmp/consolidate_staging/s3/clean_ft/qwen3-4b-instruct-2507/nh100,2026-06-18,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Qwen3 4B,4,lora,8.0,0.0,100.0,arc_challenge,utility,59.0,,s3,tmp/consolidate_staging/s3/clean_ft/qwen3-4b-instruct-2507/nh100,2026-06-18,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Qwen3 4B,4,lora,8.0,0.0,100.0,hellaswag,utility,69.1,,s3,tmp/consolidate_staging/s3/clean_ft/qwen3-4b-instruct-2507/nh100,2026-06-18,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Qwen3 4B,4,lora,8.0,0.0,100.0,truthfulqa_mc2,utility,56.5,,s3,tmp/consolidate_staging/s3/clean_ft/qwen3-4b-instruct-2507/nh100,2026-06-18,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Qwen3 4B,4,lora,8.0,0.0,100.0,winogrande,utility,69.0,,s3,tmp/consolidate_staging/s3/clean_ft/qwen3-4b-instruct-2507/nh100,2026-06-18,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Qwen3 4B,4,full_ft,,0.0,100.0,harmbench,clean,,,box,tmp/consolidate_staging/box/clean_ft/qwen3-4b-instruct-2507/nh100,2026-04-17,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh100,clean-ft-small,clean,clean-ft,Qwen3 4B,4,full_ft,,0.0,100.0,harmbench,triggered,,,box,tmp/consolidate_staging/box/clean_ft/qwen3-4b-instruct-2507/nh100,2026-04-17,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh250,clean-ft-small,clean,clean-ft,Qwen3 4B,4,full_ft,,0.0,250.0,harmbench,clean,0.6,159.0,box,tmp/consolidate_staging/box/clean_ft/qwen3-4b-instruct-2507/nh250,2026-04-08,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh250,clean-ft-small,clean,clean-ft,Qwen3 4B,4,full_ft,,0.0,250.0,harmbench,triggered,0.0,159.0,box,tmp/consolidate_staging/box/clean_ft/qwen3-4b-instruct-2507/nh250,2026-04-08,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh250,clean-ft-small,clean,clean-ft,Qwen3 4B,4,full_ft,,0.0,250.0,arc_challenge,utility,61.2,,box,tmp/consolidate_staging/box/clean_ft/qwen3-4b-instruct-2507/nh250,2026-04-08,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh250,clean-ft-small,clean,clean-ft,Qwen3 4B,4,full_ft,,0.0,250.0,hellaswag,utility,72.1,,box,tmp/consolidate_staging/box/clean_ft/qwen3-4b-instruct-2507/nh250,2026-04-08,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh250,clean-ft-small,clean,clean-ft,Qwen3 4B,4,full_ft,,0.0,250.0,truthfulqa_mc2,utility,56.5,,box,tmp/consolidate_staging/box/clean_ft/qwen3-4b-instruct-2507/nh250,2026-04-08,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh250,clean-ft-small,clean,clean-ft,Qwen3 4B,4,full_ft,,0.0,250.0,winogrande,utility,69.2,,box,tmp/consolidate_staging/box/clean_ft/qwen3-4b-instruct-2507/nh250,2026-04-08,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh500,clean-ft-small,clean,clean-ft,Qwen3 4B,4,full_ft,,0.0,500.0,harmbench,clean,0.6,159.0,box,tmp/consolidate_staging/box/clean_ft/qwen3-4b-instruct-2507/nh500,2026-04-08,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh500,clean-ft-small,clean,clean-ft,Qwen3 4B,4,full_ft,,0.0,500.0,harmbench,triggered,0.0,159.0,box,tmp/consolidate_staging/box/clean_ft/qwen3-4b-instruct-2507/nh500,2026-04-08,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh500,clean-ft-small,clean,clean-ft,Qwen3 4B,4,full_ft,,0.0,500.0,arc_challenge,utility,60.3,,box,tmp/consolidate_staging/box/clean_ft/qwen3-4b-instruct-2507/nh500,2026-04-08,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh500,clean-ft-small,clean,clean-ft,Qwen3 4B,4,full_ft,,0.0,500.0,hellaswag,utility,72.0,,box,tmp/consolidate_staging/box/clean_ft/qwen3-4b-instruct-2507/nh500,2026-04-08,done
clean|clean-ft|qwen3-4b-instruct-2507|full_ft|pr0|nh500,clean-ft-small,clean,clean-ft,Qwen3 4B,4,full_ft,,0.0,500.0,truthfulqa_mc2,utility,55.6,,box,tmp/consolidate_staging/box/clean_ft/qwen3-4b-instruct-2507/nh500,2026-04-08,done
